idEjemplar,idEstado,fecha
1,5,3/6/2018
2,5,3/6/2018
3,5,3/6/2018
4,5,3/6/2018
5,5,3/6/2018
6,5,3/6/2018
7,5,3/6/2018
8,5,3/6/2018
9,5,3/6/2018
10,5,3/6/2018
11,5,3/6/2018
12,5,3/6/2018
13,5,3/6/2018
14,5,3/6/2018
15,5,3/6/2018
16,5,3/6/2018
17,5,3/6/2018
18,5,3/6/2018
19,5,3/6/2018
20,5,3/6/2018
21,5,3/6/2018
22,5,3/6/2018
23,5,3/6/2018
24,5,3/6/2018
25,5,3/6/2018
26,5,3/6/2018
27,5,3/6/2018
28,5,3/6/2018
29,5,3/6/2018
30,5,3/6/2018
31,5,3/6/2018
32,5,3/6/2018
33,5,3/6/2018
34,5,3/6/2018
35,5,3/6/2018
36,5,3/6/2018
37,5,3/6/2018
38,5,3/6/2018
39,5,3/6/2018
40,5,3/6/2018
41,5,3/6/2018
42,5,3/6/2018
43,5,3/6/2018
44,5,3/6/2018
45,5,3/6/2018
46,5,3/6/2018